Azot (N),Fosfor (P),Kaliy (K),Kalsiy (Ca),Magniy (Mg),Temir (Fe),Rux (Zn),Mis (Cu),Organik modda (%),Gumus (%)
3.56,2953.64,14.52,9.67,1563.92,0.31,0.13,0.01,9.8,1.22
2.25,2176.87,1114.63,2866.2,1976.08,0.18,0.28,0.29,5.49,3.16
1.49,1698.83,6.01,18.35,2.7,0.39,0.48,0.14,4.01,1.96
9.31,1782.36,2386.54,2037.3,1302.13,0.62,0.2,0.26,7.37,3.3
4.53,18.08,4.82,17.57,1723.44,0.96,0.46,0.17,4.09,1.73
3.01,1.15,2176.45,2492.81,2366.4,0.63,0.32,0.11,4.94,3.23
6.2,4.08,1545.98,5.35,2256.62,0.46,0.12,0.27,4.39,0.82
9.11,4.77,12.14,4.76,2.19,0.57,0.24,0.18,3.21,4.51
4.16,2250.18,2519.91,2471.57,1963.29,0.15,0.15,0.04,3.94,1.26
5.53,2785.01,9.71,8.81,1552.91,0.84,0.04,0.16,9.52,3.76
7.2,8.52,12.15,2056.47,1343.83,0.25,0.37,0.19,5.44,1.94
9.84,2121.37,1944.13,13.88,4.49,0.66,0.31,0.03,5.58,1.36
9.74,11.43,1908.2,2789.15,1.17,0.55,0.14,0.04,4.16,0.69
3.03,2.6,2599.44,4.98,1518.98,0.32,0.44,0.21,6.35,4.62
1.3,3.69,1554.37,2659.25,3.27,0.72,0.29,0.06,5.45,1.07
2.95,1855.96,2324.03,23.34,2550.64,0.6,0.11,0.28,7.59,3.68
2.85,5.88,2927.21,2539.48,1453.73,0.86,0.34,0.26,6.31,4.45
4.17,2169.05,2582.27,3.46,1.63,0.25,0.45,0.03,4.66,3.52
9.39,2349.72,11.76,19.01,1.49,0.16,0.38,0.14,5.22,0.76
1.78,1621.21,7.1,1164.11,1848.45,0.17,0.39,0.12,5.9,1.16
4.43,1525.25,2499.73,1005.29,1179.1,0.63,0.23,0.19,4.6,2.27
9.77,2097.67,6.3,2405.17,4.31,0.46,0.28,0.08,5.13,2.24
2.39,2246.71,11.2,26.07,1.05,0.73,0.12,0.04,7.97,4.19
2.7,1098.39,10.69,2.82,4.14,0.44,0.33,0.11,2.63,4.96
8.47,1218.07,13.37,1704.49,2868.0,0.45,0.27,0.03,3.26,3.33
6.3,2109.68,14.14,2578.7,2.39,0.3,0.06,0.02,1.31,4.73
2.26,2503.17,2546.42,2956.73,2092.3,0.44,0.27,0.1,3.96,2.21
9.59,4.43,1.8,1.52,1627.05,0.62,0.26,0.16,4.94,2.19
9.0,17.19,1415.36,2933.64,0.66,0.88,0.06,0.23,4.04,4.19
4.83,2792.69,1995.81,2710.02,4.71,0.16,0.14,0.1,1.09,0.7
9.82,9.33,14.41,1926.16,1.76,0.7,0.13,0.24,5.58,4.82
9.37,2.64,12.13,27.22,1989.07,0.34,0.44,0.2,1.32,4.21
6.08,2941.66,9.67,2116.22,2136.94,0.31,0.33,0.23,2.35,3.01
0.95,1771.33,5.07,1630.07,2166.55,0.67,0.21,0.08,5.49,1.93
1.44,9.08,4.88,2489.44,2481.63,0.51,0.22,0.09,2.77,1.8
3.81,1822.67,9.5,1294.78,2.99,0.75,0.07,0.2,2.8,1.59
5.53,2645.14,1671.88,5.96,1540.68,0.31,0.15,0.23,8.79,4.32
6.09,11.76,2395.75,1291.34,2702.64,0.95,0.38,0.08,1.96,4.91
6.31,1465.69,11.65,1348.83,2.62,0.53,0.28,0.04,7.38,0.86
1.5,1258.59,5.95,2173.82,1926.7,0.5,0.32,0.02,7.61,0.96
8.95,2403.03,1371.3,23.54,1.99,0.66,0.16,0.11,1.53,1.45
3.88,12.25,1667.43,2927.37,4.2,0.89,0.13,0.12,5.33,3.21
5.83,17.13,11.97,0.14,2805.68,0.59,0.32,0.03,4.23,4.61
8.28,1448.86,2711.09,2001.4,0.59,0.62,0.1,0.28,9.42,3.5
6.23,4.0,5.07,1425.0,3.6,0.73,0.45,0.24,5.76,3.33
0.21,19.44,1328.2,19.21,1.03,0.22,0.23,0.04,7.65,2.27
5.31,11.75,2063.71,14.28,1859.85,0.58,0.43,0.14,9.86,4.38
4.29,4.32,11.68,21.76,3.66,0.67,0.46,0.1,6.57,1.85
6.58,2937.24,2153.44,2163.95,0.5,0.31,0.13,0.15,5.1,2.43
9.51,2923.8,13.36,2444.91,2616.78,0.13,0.27,0.13,4.49,2.82
5.37,16.97,8.06,2303.59,2086.58,0.68,0.1,0.07,2.43,0.97
3.59,1371.5,2317.54,12.88,3.84,0.71,0.18,0.09,4.48,1.28
8.19,3.73,1644.7,22.37,1981.81,0.45,0.04,0.04,6.88,2.46
4.16,1813.21,3.51,1671.98,2.73,0.38,0.45,0.21,1.95,0.58
5.43,1971.64,7.03,2972.45,2.36,0.94,0.4,0.14,8.24,4.18
7.06,2041.01,14.89,29.4,1115.09,0.75,0.24,0.27,5.38,1.56
9.0,2644.09,2847.36,19.08,2671.5,0.48,0.36,0.22,3.91,3.58
0.13,7.55,13.91,0.24,4.07,0.08,0.13,0.3,3.43,4.07
8.64,4.74,1353.36,3.76,0.7,0.95,0.37,0.18,8.27,4.18
7.04,3.63,2023.79,1133.96,2.9,0.99,0.09,0.01,5.91,4.31
7.41,18.01,1246.95,26.01,2881.87,0.64,0.12,0.07,1.13,4.29
5.46,2.62,1.98,2681.44,1.47,0.49,0.34,0.08,3.41,0.65
3.43,7.04,4.94,2976.6,4.82,0.35,0.44,0.09,7.02,1.36
7.39,16.55,2.74,0.36,1.21,0.34,0.17,0.27,2.73,0.88
5.93,7.67,6.63,19.04,1.56,0.01,0.41,0.28,1.62,3.7
6.59,1541.01,1143.25,2428.14,1636.84,0.89,0.41,0.09,2.39,3.73
6.83,2366.05,2.26,1009.34,4.24,0.41,0.36,0.16,6.12,2.17
6.96,7.23,14.68,21.21,2.84,0.91,0.07,0.11,7.52,2.14
1.85,2630.04,1.92,1684.49,0.41,0.37,0.31,0.29,5.14,0.92
0.51,18.5,2458.51,1907.89,1632.6,0.73,0.1,0.13,6.8,3.92
0.78,1207.74,2266.72,2138.03,4.86,0.62,0.13,0.2,7.78,0.99
7.29,2505.76,2787.26,2362.26,2437.12,0.01,0.28,0.28,2.82,3.3
0.95,2058.15,1067.86,24.9,1219.0,0.65,0.07,0.01,6.8,4.95
5.58,1059.72,2.43,19.38,1.49,0.11,0.44,0.04,2.66,4.67
1.98,6.48,1531.86,2350.76,4.03,0.81,0.48,0.21,4.08,3.65
3.58,6.61,1699.33,4.1,1148.96,0.54,0.18,0.26,9.29,1.7
8.53,2072.62,2407.9,2.52,4.13,0.45,0.32,0.29,7.54,4.61
8.36,6.8,2280.56,2935.2,2399.18,0.51,0.49,0.19,1.32,3.09
5.84,2212.0,1086.07,2391.94,3.82,0.15,0.39,0.05,3.84,3.35
8.45,6.51,10.46,1733.75,1.44,0.05,0.39,0.21,2.97,1.76
9.46,4.89,2582.19,14.38,2151.7,0.57,0.25,0.29,4.8,1.03
7.45,1141.25,2970.58,3.96,2088.13,0.99,0.19,0.23,1.26,0.98
5.17,1502.59,4.97,6.73,2595.05,0.62,0.41,0.02,3.49,3.3
4.36,1301.14,2506.7,16.42,2243.2,0.15,0.16,0.01,5.34,3.65
3.57,1963.87,1373.97,11.22,2.0,0.56,0.17,0.08,8.26,1.16
2.91,2956.41,10.93,13.67,1256.74,0.1,0.36,0.24,3.02,3.82
1.36,1748.11,5.32,11.46,1821.22,0.72,0.28,0.2,5.04,3.98
8.06,1588.4,2873.74,2305.69,1887.03,0.29,0.31,0.27,2.41,1.03
4.22,2401.86,1342.36,2179.97,2.55,0.03,0.1,0.28,8.63,0.8
7.41,1965.0,3.46,3.69,3.07,0.93,0.48,0.15,9.67,4.76
5.81,9.93,2.58,18.1,1.79,0.02,0.27,0.15,3.17,4.83
8.29,1189.63,1643.53,4.95,0.61,0.02,0.08,0.29,4.58,3.8
3.57,1610.17,1602.35,27.18,1247.51,0.13,0.33,0.05,8.48,4.47
7.73,11.66,4.35,2803.86,1950.21,0.45,0.19,0.02,6.61,3.32
2.76,2856.79,2021.87,1188.7,0.47,0.88,0.49,0.11,2.4,2.36
5.86,0.73,14.55,25.63,4.17,0.81,0.15,0.2,8.85,3.58
4.47,12.59,1662.02,1285.66,1077.7,0.9,0.49,0.24,9.38,2.13
9.74,1.2,2568.35,1908.28,1.94,0.36,0.26,0.02,2.58,1.5
5.46,2531.95,1048.51,2448.09,1537.04,0.29,0.07,0.04,3.5,4.36
7.33,1691.18,14.18,1118.03,0.23,0.93,0.03,0.29,5.87,0.7
8.35,1102.9,7.61,4.49,1.83,0.04,0.17,0.23,8.36,4.63
9.46,17.92,1.76,1345.15,0.65,0.35,0.05,0.2,9.44,1.85
0.27,1842.42,2573.45,2876.21,0.81,0.85,0.22,0.09,3.89,2.4
5.98,2136.07,2014.06,12.23,2522.25,0.23,0.41,0.09,9.42,4.07
9.2,9.68,4.2,5.58,2337.05,0.42,0.16,0.11,9.9,2.97
1.87,11.16,1963.7,6.88,1.63,0.57,0.17,0.06,2.36,4.89
6.42,2.82,4.97,20.07,1432.89,0.94,0.48,0.12,2.8,3.54
6.72,2789.24,6.88,18.17,2762.24,0.77,0.33,0.12,7.75,4.34
1.54,13.61,2214.78,16.18,2140.58,0.44,0.49,0.19,5.62,4.06
6.41,7.54,9.13,23.9,0.74,0.05,0.09,0.06,6.68,4.38
0.38,7.56,2877.31,22.37,2520.02,0.58,0.05,0.11,4.14,3.08
1.18,7.86,2.85,1.0,1.78,0.06,0.4,0.2,9.3,1.11
8.21,2288.95,8.6,4.66,2206.27,0.27,0.2,0.1,4.36,2.97
5.15,11.25,3.81,16.95,2911.43,0.32,0.03,0.06,9.11,0.9
1.93,14.21,1941.67,13.56,1789.4,0.86,0.23,0.08,6.39,3.58
1.67,2.92,9.89,26.4,0.38,0.84,0.36,0.07,3.38,4.9
3.02,2482.14,2493.62,1940.98,3.6,0.59,0.45,0.25,7.59,4.21
3.26,12.09,1393.66,2.75,3.08,0.9,0.3,0.25,9.36,2.85
2.59,2179.06,2041.25,1076.7,2260.65,0.43,0.04,0.28,5.89,1.9
0.3,2004.55,9.5,1600.94,1745.71,0.75,0.26,0.03,4.4,4.04
8.34,4.9,3.56,27.13,1027.98,0.78,0.15,0.28,2.89,4.26
7.89,2994.25,2.54,20.92,0.85,0.5,0.49,0.06,8.79,4.27
9.21,2765.8,2849.56,2639.17,3.65,0.73,0.08,0.06,5.86,2.0
6.39,2435.49,12.25,2845.64,2957.71,0.92,0.43,0.23,1.39,3.59
0.39,17.65,2925.13,26.39,2.3,0.73,0.41,0.2,7.6,2.38
9.19,1.53,2527.09,5.23,0.52,0.91,0.36,0.09,7.64,3.76
6.14,1038.47,6.81,20.57,0.83,0.06,0.19,0.05,7.8,3.45
6.86,1794.78,2987.59,2785.94,2696.52,0.52,0.32,0.28,2.09,3.96
8.34,1810.04,2785.11,18.36,2.67,0.51,0.29,0.1,4.19,4.8
6.29,3.34,14.53,25.99,1175.84,0.84,0.49,0.05,7.04,3.54
2.15,3.45,3.32,1284.41,1170.82,0.75,0.04,0.21,1.02,4.16
5.79,2955.23,3.95,6.81,2.24,0.2,0.13,0.29,8.2,1.5
1.8,6.31,1336.88,25.51,1.92,0.67,0.37,0.07,8.56,3.12
8.34,13.71,2337.23,26.67,0.77,0.9,0.27,0.14,1.39,1.33
3.33,3.58,7.6,1.0,2860.25,0.23,0.47,0.05,7.06,1.21
6.62,10.36,1898.59,2106.67,1391.49,0.45,0.48,0.09,1.72,2.08
7.64,3.84,14.23,23.18,2673.08,0.76,0.21,0.11,3.44,2.42
4.26,2958.59,1627.51,9.26,3.81,0.12,0.47,0.18,7.13,2.79
1.97,1323.92,10.83,1648.55,2615.01,0.51,0.26,0.29,9.48,4.41
2.7,1165.8,2575.39,1053.96,1316.06,0.04,0.08,0.17,3.97,1.11
3.67,13.76,8.48,3.76,0.93,0.64,0.31,0.09,6.32,1.38
3.39,12.98,2210.06,28.6,1.86,0.74,0.48,0.08,5.03,1.49
7.29,8.02,14.24,2977.0,1025.39,0.77,0.14,0.25,7.39,3.43
2.67,2172.48,4.98,1018.22,4.82,0.49,0.1,0.03,6.24,1.54
4.85,1120.55,5.15,2754.94,2853.42,0.76,0.07,0.16,5.13,1.45
9.18,1.5,1013.66,19.43,1399.77,0.83,0.49,0.28,8.52,4.23
2.01,2343.0,1204.32,1766.11,1408.17,0.62,0.09,0.23,9.48,1.03
8.31,4.21,9.25,22.39,2.21,0.88,0.21,0.1,6.7,4.24
1.69,1493.47,12.21,29.16,2189.11,0.11,0.12,0.19,7.96,4.84
1.71,1.7,2.44,1284.7,1714.87,0.36,0.16,0.07,8.33,1.86
2.31,4.24,2807.83,1684.59,2277.61,0.92,0.23,0.19,8.57,3.54
2.24,0.81,2801.6,2296.29,4.6,0.21,0.07,0.14,9.82,0.73
7.15,4.36,13.1,2210.61,1856.98,0.14,0.41,0.09,5.41,2.77
1.92,1931.44,1157.05,2698.73,2403.84,0.5,0.47,0.1,5.51,1.96
7.7,2656.9,1750.75,28.97,2744.78,0.76,0.41,0.17,8.09,4.96
8.62,1075.04,2871.5,26.4,3.0,0.57,0.22,0.07,9.15,1.68
7.47,2984.3,7.33,1975.81,1960.76,0.83,0.15,0.11,3.72,2.36
3.02,1314.9,9.58,1526.03,1817.76,0.42,0.14,0.06,8.83,1.85
2.92,2906.08,1427.12,2394.24,1606.28,0.28,0.04,0.18,6.26,1.44
4.93,4.78,9.34,1148.9,2858.42,0.29,0.45,0.07,8.3,3.45
5.59,2931.72,12.26,2329.28,1.13,0.53,0.05,0.01,8.15,3.82
8.65,1153.22,1238.88,1882.63,1.65,0.3,0.15,0.25,7.0,1.52
3.53,18.56,2628.69,2302.78,4.07,0.94,0.1,0.28,8.44,2.81
4.53,1.21,1916.56,26.89,2544.96,0.18,0.44,0.22,9.71,4.17
6.03,1470.02,1280.33,22.5,2797.33,0.32,0.12,0.15,4.45,3.5
9.58,2790.2,1037.08,2333.01,4.63,0.96,0.33,0.17,6.28,4.29
0.95,11.42,5.73,2790.02,2836.04,0.82,0.05,0.16,5.08,2.34
8.29,2143.96,1209.95,3.09,4.56,0.54,0.32,0.03,9.46,2.47
5.49,18.66,7.64,11.88,1874.89,0.1,0.49,0.11,8.78,3.29
2.26,2966.57,4.95,27.48,1.96,0.68,0.31,0.21,5.11,2.4
7.27,2381.18,11.78,21.71,1.26,0.42,0.38,0.02,2.14,3.93
3.69,2030.29,5.54,17.92,1308.56,0.16,0.05,0.14,1.76,3.11
4.36,1455.06,13.31,26.39,2.92,0.42,0.02,0.03,4.76,3.05
6.88,13.94,2.82,25.87,3.99,0.03,0.38,0.09,2.53,3.87
6.61,2254.3,1281.76,4.99,2.84,0.85,0.41,0.3,6.51,4.64
0.21,2686.74,7.83,2224.58,4.58,0.64,0.01,0.03,6.09,2.1
5.83,15.22,9.57,1893.57,4.56,0.44,0.49,0.27,4.46,4.81
2.16,1755.15,1975.9,29.95,2.07,0.95,0.2,0.06,7.74,4.87
1.36,3.4,8.14,1.46,2191.85,0.92,0.31,0.13,4.31,1.16
9.04,4.33,6.69,1686.12,0.96,0.14,0.35,0.02,8.29,1.57
2.77,7.49,2071.39,0.66,1718.99,0.87,0.24,0.07,1.83,4.76
9.04,9.42,1788.17,16.49,1829.36,0.01,0.43,0.22,2.61,3.83
3.36,1033.38,2572.13,2420.05,2.9,0.25,0.15,0.03,3.76,0.55
1.11,2.57,1181.02,1548.38,2.54,0.59,0.18,0.07,2.53,2.38
5.22,17.94,7.08,21.73,1.56,0.38,0.08,0.09,2.06,2.1
6.18,1.26,2357.45,1587.98,4.68,0.3,0.28,0.17,6.0,1.77
3.93,4.56,4.2,10.56,1.16,0.33,0.43,0.23,6.74,2.09
9.06,1564.93,2410.11,25.65,1854.8,0.97,0.45,0.13,6.49,3.89
4.22,16.23,10.73,18.85,1277.24,0.25,0.47,0.09,6.02,3.25
8.09,13.25,1388.45,20.62,2510.28,0.67,0.26,0.09,1.4,1.9
3.34,2962.46,2173.21,1619.36,0.52,0.27,0.17,0.08,9.32,1.56
2.55,12.78,1952.08,28.04,4.9,0.66,0.46,0.23,7.94,2.31
3.82,0.84,1.09,2025.59,2962.44,0.05,0.28,0.28,6.74,4.46
3.56,2248.97,1987.34,2335.83,1.1,0.45,0.24,0.2,5.79,1.54
1.73,1491.03,2.63,27.29,1820.87,0.17,0.1,0.14,7.81,0.93
5.83,2300.59,1560.51,1749.77,2.52,0.95,0.48,0.21,4.46,4.3
8.26,2.16,2172.77,4.31,0.58,0.51,0.47,0.21,5.58,4.39
0.81,1176.81,5.2,2860.06,2722.35,0.83,0.38,0.24,6.87,4.49
2.11,6.31,6.31,2823.82,1.05,0.97,0.41,0.15,8.25,2.96
7.17,11.39,13.36,9.43,2978.73,0.94,0.04,0.12,5.57,2.07
3.02,3.19,4.38,1020.06,2145.65,0.8,0.27,0.04,2.5,1.7
3.09,2883.79,7.12,1714.01,4.15,0.67,0.26,0.13,1.02,2.12
8.48,2472.02,6.88,2684.96,1.03,0.81,0.46,0.09,3.49,3.54
0.81,2944.13,2584.69,1134.07,2.88,0.17,0.4,0.27,9.17,3.55
8.33,2451.97,1288.06,20.37,4.25,0.24,0.24,0.24,7.73,3.21
4.54,19.24,2090.43,2444.44,2484.61,0.91,0.08,0.08,1.91,3.86
2.06,1874.83,2846.69,1815.11,1904.84,0.37,0.22,0.21,4.14,0.57
1.13,6.87,2.33,17.44,1090.16,0.07,0.11,0.05,2.72,4.01
8.49,9.59,8.37,24.14,2067.06,0.51,0.26,0.09,3.06,1.13
1.0,2.44,1167.67,1175.11,1834.38,0.76,0.49,0.18,8.39,2.17
7.35,1862.9,2531.39,4.11,1.42,0.84,0.19,0.29,3.8,4.34
8.87,12.82,1424.29,26.46,1022.46,0.09,0.25,0.2,8.09,2.04
9.99,15.53,4.49,2085.92,1682.96,0.85,0.11,0.24,3.61,3.0
1.82,8.62,2062.79,1119.94,1295.06,0.02,0.43,0.1,4.73,3.1
8.55,1610.2,1105.94,2719.21,2947.2,0.4,0.48,0.28,9.85,2.53
7.17,1865.44,6.82,19.63,3.8,0.52,0.24,0.22,1.51,4.84
5.16,2547.11,1806.56,5.9,3.04,0.66,0.07,0.19,6.5,0.97
7.46,18.96,1776.62,19.45,1297.57,0.51,0.45,0.13,6.56,3.09
2.15,12.45,1427.53,2019.73,4.7,0.94,0.27,0.2,5.8,1.39
4.14,1556.24,14.31,23.56,2970.44,0.86,0.03,0.26,6.73,2.62
0.6,2274.3,1.9,2954.18,2.54,0.98,0.13,0.14,5.42,1.17
6.94,1025.43,7.62,2237.37,2860.72,0.03,0.44,0.26,3.03,2.33
5.69,2.21,1545.1,1.88,1.15,0.32,0.31,0.17,9.72,4.5
4.81,11.98,1572.23,23.33,0.67,0.11,0.21,0.15,9.62,1.23
8.16,14.37,13.45,2402.59,4.23,0.79,0.23,0.11,7.93,4.1
0.5,1148.44,11.45,1960.43,2900.05,0.56,0.31,0.25,9.62,2.6
0.13,2997.35,2.49,2508.0,1115.01,0.46,0.26,0.15,4.63,3.11
9.88,14.13,4.76,2.91,2540.1,0.36,0.2,0.23,2.43,4.28
2.68,1.36,1.41,1933.97,0.73,0.67,0.28,0.05,6.0,1.29
8.87,2841.13,7.98,18.94,2.27,0.23,0.18,0.09,4.0,4.32
0.71,1093.54,2645.24,1515.41,1551.1,0.17,0.08,0.28,2.84,1.62
0.92,2189.58,1303.27,2825.51,2810.14,0.21,0.09,0.16,1.62,1.82
3.16,0.79,5.89,2083.44,2451.76,0.11,0.06,0.05,8.52,3.94
2.47,17.03,9.55,1520.98,0.71,0.21,0.22,0.25,6.58,1.25
4.16,1950.82,1270.79,1980.98,4.73,0.59,0.23,0.13,4.29,0.74
9.44,2569.32,1104.05,6.0,2524.25,0.79,0.36,0.21,7.19,3.57
6.65,1736.36,2914.76,1832.94,4.6,0.71,0.22,0.25,8.79,3.2
4.88,2648.4,3.4,1858.9,2575.84,1.0,0.21,0.26,7.59,3.52
8.86,4.13,10.1,1466.1,3.19,0.41,0.43,0.21,4.1,1.23
6.54,1114.58,2702.39,4.2,1384.67,0.04,0.11,0.1,1.4,3.76
6.69,2815.84,6.08,13.87,1766.73,0.33,0.29,0.07,8.57,1.97
2.71,2273.98,2399.23,1978.09,1815.2,0.37,0.06,0.26,8.97,1.6
9.1,2450.57,9.26,3.69,2494.89,0.59,0.29,0.23,1.9,4.74
6.43,11.71,2454.72,22.94,4.03,0.02,0.26,0.24,9.54,4.24
1.24,12.12,10.4,14.28,2.77,0.59,0.13,0.12,5.81,3.77
9.38,1411.84,1.66,21.3,0.24,0.19,0.34,0.2,2.83,1.05
0.59,19.03,13.57,1141.15,1.39,0.94,0.2,0.12,7.05,3.04
3.87,2775.94,12.8,3.02,3.69,0.34,0.14,0.1,5.94,3.84
9.98,1.8,7.82,13.69,4.81,0.02,0.14,0.25,9.51,4.95
5.42,2.48,8.7,6.94,2296.96,0.16,0.03,0.14,8.87,1.94
4.66,13.69,2294.65,2462.36,4.64,0.31,0.25,0.1,5.9,4.68
6.21,19.67,2235.16,2250.9,3.87,0.01,0.08,0.15,4.04,4.36
7.15,7.31,2493.51,7.96,2356.71,0.74,0.07,0.17,2.86,3.75
0.5,5.22,4.0,2477.63,2.41,0.37,0.08,0.17,1.96,1.33
2.4,1.25,1247.25,25.35,1168.87,0.5,0.48,0.12,1.22,4.2
0.64,1079.29,2271.88,2530.58,1903.73,0.58,0.29,0.24,1.1,3.37
1.7,1425.02,2742.38,15.49,2747.45,0.2,0.21,0.23,5.66,0.89
2.33,13.43,2958.88,8.84,2.49,0.88,0.3,0.03,6.15,3.08
1.27,7.0,2.78,26.49,2.17,0.01,0.12,0.03,5.54,1.72
1.52,8.77,2791.56,8.35,2.01,0.76,0.3,0.24,6.99,3.44
7.33,7.78,7.75,2000.7,1527.12,0.52,0.09,0.04,3.01,4.38
5.57,3.53,12.22,1003.85,1027.82,0.6,0.09,0.26,4.05,2.54
3.52,1606.14,5.56,13.02,2631.83,0.43,0.48,0.28,8.87,2.52
7.89,10.8,10.68,2095.85,3.19,0.58,0.46,0.04,2.19,3.08
2.27,2872.58,1.53,2657.04,0.25,0.87,0.49,0.23,1.42,3.76
3.39,2294.93,12.06,2219.98,1.89,0.17,0.48,0.07,4.22,1.92
9.4,3.82,2385.48,4.16,4.6,0.62,0.48,0.05,8.12,3.16
3.97,2094.39,2223.12,1789.68,1518.11,0.83,0.03,0.18,6.79,1.84
7.6,1.82,2014.41,2132.78,2758.84,0.55,0.4,0.03,2.24,2.63
0.19,1330.09,2.22,14.94,4.41,0.99,0.14,0.04,7.1,3.63
9.16,10.09,2.89,29.23,1882.97,0.63,0.46,0.06,2.68,4.97
7.98,2.22,8.12,27.93,2820.01,0.23,0.29,0.13,5.2,2.38
8.98,1.98,14.21,17.35,2.43,0.92,0.42,0.29,8.96,3.65
9.44,2094.51,11.66,19.21,2436.74,0.13,0.29,0.26,3.72,1.75
3.5,6.64,2762.16,15.83,4.34,0.12,0.31,0.06,4.19,0.98
4.57,2154.07,2876.64,2232.02,1346.18,0.82,0.08,0.17,2.98,3.03
1.1,5.73,2195.56,11.66,0.51,0.67,0.35,0.1,3.39,1.3
0.73,13.73,11.25,1619.35,2092.09,0.16,0.09,0.27,1.93,2.69
1.16,2.0,2715.37,24.47,0.23,0.36,0.04,0.17,2.38,2.03
3.03,13.77,2987.5,2406.71,0.48,0.57,0.3,0.15,2.87,2.83
2.09,2991.03,1580.57,1607.49,1.22,0.98,0.16,0.19,6.13,4.58
1.85,2509.65,1861.73,24.48,2472.33,0.19,0.16,0.14,4.59,4.84
5.81,2.8,2446.2,1504.03,3.82,0.9,0.08,0.25,6.6,0.73
4.58,5.18,1045.97,1717.12,2.67,0.7,0.47,0.05,9.53,0.81
1.07,19.09,2.99,1284.67,1184.5,0.08,0.05,0.29,5.01,3.55
3.41,13.42,9.52,9.49,1229.1,0.96,0.26,0.21,9.22,1.09
8.52,9.16,9.41,2587.14,1164.45,0.66,0.42,0.24,4.93,2.99
9.93,1104.84,2830.13,2316.87,0.88,0.58,0.34,0.11,3.63,3.73
4.38,1196.11,1578.71,1626.0,2856.77,0.61,0.19,0.17,2.28,2.51
4.48,16.26,2005.43,25.98,1549.98,0.95,0.35,0.13,2.75,4.96
4.91,9.74,8.51,1578.21,2754.8,0.24,0.09,0.07,3.19,4.54
0.24,1715.03,1372.82,13.31,1.03,0.55,0.1,0.08,5.69,3.17
5.64,1661.36,12.63,1539.51,2597.07,0.6,0.19,0.18,7.51,1.63
0.3,3.08,4.87,11.47,2856.08,0.74,0.49,0.26,4.72,2.05
5.32,2070.99,1620.37,2606.7,2.31,0.2,0.14,0.24,4.51,1.98
0.92,1644.75,2.61,1038.09,4.92,0.84,0.31,0.06,3.89,1.06
8.71,8.32,6.8,1934.17,4.88,0.65,0.08,0.02,1.77,2.01
8.9,1864.41,1579.39,23.82,2241.58,0.73,0.08,0.13,8.29,2.74
8.43,1138.82,2835.18,2263.72,1.09,0.22,0.42,0.06,3.1,3.81
6.29,9.42,1562.86,1859.0,2497.51,0.21,0.39,0.14,5.89,0.9
