Azot (N),Fosfor (P),Kaliy (K),Kalsiy (Ca),Magniy (Mg),Temir (Fe),Rux (Zn),Mis (Cu),Organik modda (%),Gumus (%)
3.56,4.25,14.52,9.67,1.57,0.31,0.13,0.01,9.8,1.22
2.25,10.0,10.96,16.13,2.09,0.18,0.28,0.29,5.49,3.16
1.49,10.51,6.01,18.35,2.7,0.39,0.48,0.14,4.01,1.96
9.31,15.19,12.43,27.69,1.99,0.62,0.2,0.26,7.37,3.3
4.53,18.08,4.82,17.57,1.44,0.96,0.46,0.17,4.09,1.73
3.01,1.15,3.67,4.32,3.87,0.63,0.32,0.11,4.94,3.23
6.2,4.08,1.84,5.35,4.9,0.46,0.12,0.27,4.39,0.82
9.11,4.77,12.14,4.76,2.19,0.57,0.24,0.18,3.21,4.51
4.16,4.21,7.86,16.46,1.52,0.15,0.15,0.04,3.94,1.26
5.53,18.88,9.71,8.81,0.4,0.84,0.04,0.16,9.52,3.76
7.2,8.52,12.15,22.32,3.59,0.25,0.37,0.19,5.44,1.94
9.84,16.04,2.01,13.88,4.49,0.66,0.31,0.03,5.58,1.36
9.74,11.43,1.9,14.85,1.17,0.55,0.14,0.04,4.16,0.69
3.03,2.6,9.28,4.98,3.36,0.32,0.44,0.21,6.35,4.62
1.3,3.69,1.84,19.75,3.27,0.72,0.29,0.06,5.45,1.07
2.95,11.2,7.67,23.34,1.44,0.6,0.11,0.28,7.59,3.68
2.85,5.88,12.88,21.07,0.38,0.86,0.34,0.26,6.31,4.45
4.17,6.48,3.85,3.46,1.63,0.25,0.45,0.03,4.66,3.52
9.39,3.45,11.76,19.01,1.49,0.16,0.38,0.14,5.22,0.76
1.78,2.05,7.1,15.43,2.18,0.17,0.39,0.12,5.9,1.16
4.43,14.42,14.83,4.03,2.69,0.63,0.23,0.19,4.6,2.27
9.77,12.52,6.3,21.85,4.31,0.46,0.28,0.08,5.13,2.24
2.39,12.86,11.2,26.07,1.05,0.73,0.12,0.04,7.97,4.19
2.7,5.58,10.69,2.82,4.14,0.44,0.33,0.11,2.63,4.96
8.47,2.77,13.37,19.02,4.14,0.45,0.27,0.03,3.26,3.33
6.3,12.39,14.14,6.25,2.39,0.3,0.06,0.02,1.31,4.73
2.26,15.71,10.83,5.52,2.2,0.44,0.27,0.1,3.96,2.21
9.59,4.43,1.8,1.52,2.19,0.62,0.26,0.16,4.94,2.19
9.0,17.19,4.24,19.45,0.66,0.88,0.06,0.23,4.04,4.19
4.83,10.4,9.1,21.78,4.71,0.16,0.14,0.1,1.09,0.7
9.82,9.33,14.41,29.91,1.76,0.7,0.13,0.24,5.58,4.82
9.37,2.64,12.13,27.22,2.22,0.34,0.44,0.2,1.32,4.21
6.08,7.79,9.67,5.21,2.63,0.31,0.33,0.23,2.35,3.01
0.95,5.99,5.07,21.58,0.54,0.67,0.21,0.08,5.49,1.93
1.44,9.08,4.88,20.93,2.28,0.51,0.22,0.09,2.77,1.8
3.81,17.88,9.5,6.89,2.99,0.75,0.07,0.2,2.8,1.59
5.53,6.15,14.04,5.96,2.92,0.31,0.15,0.23,8.79,4.32
6.09,11.76,10.74,18.25,3.96,0.95,0.38,0.08,1.96,4.91
6.31,3.36,11.65,10.12,2.62,0.53,0.28,0.04,7.38,0.86
1.5,12.15,5.95,4.38,2.27,0.5,0.32,0.02,7.61,0.96
8.95,19.56,11.02,23.54,1.99,0.66,0.16,0.11,1.53,1.45
3.88,12.25,4.12,28.64,4.2,0.89,0.13,0.12,5.33,3.21
5.83,17.13,11.97,0.14,4.99,0.59,0.32,0.03,4.23,4.61
8.28,2.31,3.27,26.34,0.59,0.62,0.1,0.28,9.42,3.5
6.23,4.0,5.07,2.64,3.6,0.73,0.45,0.24,5.76,3.33
0.21,19.44,7.4,19.21,1.03,0.22,0.23,0.04,7.65,2.27
5.31,11.75,12.48,14.28,3.27,0.58,0.43,0.14,9.86,4.38
4.29,4.32,11.68,21.76,3.66,0.67,0.46,0.1,6.57,1.85
6.58,12.7,2.34,26.9,0.5,0.31,0.13,0.15,5.1,2.43
9.51,8.27,13.36,0.6,2.75,0.13,0.27,0.13,4.49,2.82
5.37,16.97,8.06,8.18,2.11,0.68,0.1,0.07,2.43,0.97
3.59,5.57,1.15,12.88,3.84,0.71,0.18,0.09,4.48,1.28
8.19,3.73,5.98,22.37,3.56,0.45,0.04,0.04,6.88,2.46
4.16,9.92,3.51,7.6,2.73,0.38,0.45,0.21,1.95,0.58
5.43,14.85,7.03,10.64,2.36,0.94,0.4,0.14,8.24,4.18
7.06,11.84,14.89,29.4,4.35,0.75,0.24,0.27,5.38,1.56
9.0,9.84,8.71,19.08,4.2,0.48,0.36,0.22,3.91,3.58
0.13,7.55,13.91,0.24,4.07,0.08,0.13,0.3,3.43,4.07
8.64,4.74,2.98,3.76,0.7,0.95,0.37,0.18,8.27,4.18
7.04,3.63,1.94,25.98,2.9,0.99,0.09,0.01,5.91,4.31
7.41,18.01,5.57,26.01,2.16,0.64,0.12,0.07,1.13,4.29
5.46,2.62,1.98,27.41,1.47,0.49,0.34,0.08,3.41,0.65
3.43,7.04,4.94,7.35,4.82,0.35,0.44,0.09,7.02,1.36
7.39,16.55,2.74,0.36,1.21,0.34,0.17,0.27,2.73,0.88
5.93,7.67,6.63,19.04,1.56,0.01,0.41,0.28,1.62,3.7
6.59,8.83,2.68,2.74,4.26,0.89,0.41,0.09,2.39,3.73
6.83,1.16,2.26,15.57,4.24,0.41,0.36,0.16,6.12,2.17
6.96,7.23,14.68,21.21,2.84,0.91,0.07,0.11,7.52,2.14
1.85,15.14,1.92,7.81,0.41,0.37,0.31,0.29,5.14,0.92
0.51,18.5,10.94,19.94,1.67,0.73,0.1,0.13,6.8,3.92
0.78,13.55,13.52,5.33,4.86,0.62,0.13,0.2,7.78,0.99
7.29,7.1,1.57,5.92,3.55,0.01,0.28,0.28,2.82,3.3
0.95,0.79,3.83,24.9,0.18,0.65,0.07,0.01,6.8,4.95
5.58,15.93,2.43,19.38,1.49,0.11,0.44,0.04,2.66,4.67
1.98,6.48,11.81,18.39,4.03,0.81,0.48,0.21,4.08,3.65
3.58,6.61,14.68,4.1,0.38,0.54,0.18,0.26,9.29,1.7
8.53,6.79,10.7,2.52,4.13,0.45,0.32,0.29,7.54,4.61
8.36,6.8,10.72,4.21,4.49,0.51,0.49,0.19,1.32,3.09
5.84,3.11,14.08,12.79,3.82,0.15,0.39,0.05,3.84,3.35
8.45,6.51,10.46,0.24,1.44,0.05,0.39,0.21,2.97,1.76
9.46,4.89,11.35,14.38,0.28,0.57,0.25,0.29,4.8,1.03
7.45,6.18,10.4,3.96,2.44,0.99,0.19,0.23,1.26,0.98
5.17,1.7,4.97,6.73,1.08,0.62,0.41,0.02,3.49,3.3
4.36,8.2,5.05,16.42,4.3,0.15,0.16,0.01,5.34,3.65
3.57,17.46,3.87,11.22,2.0,0.56,0.17,0.08,8.26,1.16
2.91,10.03,10.93,13.67,3.26,0.1,0.36,0.24,3.02,3.82
1.36,8.68,5.32,11.46,2.53,0.72,0.28,0.2,5.04,3.98
8.06,3.95,6.0,25.41,4.26,0.29,0.31,0.27,2.41,1.03
4.22,11.6,5.79,22.73,2.55,0.03,0.1,0.28,8.63,0.8
7.41,9.44,3.46,3.69,3.07,0.93,0.48,0.15,9.67,4.76
5.81,9.93,2.58,18.1,1.79,0.02,0.27,0.15,3.17,4.83
8.29,13.79,6.11,4.95,0.61,0.02,0.08,0.29,4.58,3.8
3.57,18.44,1.64,27.18,1.68,0.13,0.33,0.05,8.48,4.47
7.73,11.66,4.35,27.27,0.29,0.45,0.19,0.02,6.61,3.32
2.76,7.54,8.52,27.96,0.47,0.88,0.49,0.11,2.4,2.36
5.86,0.73,14.55,25.63,4.17,0.81,0.15,0.2,8.85,3.58
4.47,12.59,6.34,20.41,0.99,0.9,0.49,0.24,9.38,2.13
9.74,1.2,9.79,29.76,1.94,0.36,0.26,0.02,2.58,1.5
5.46,5.58,8.82,22.7,0.58,0.29,0.07,0.04,3.5,4.36
7.33,7.25,14.18,2.65,0.23,0.93,0.03,0.29,5.87,0.7
8.35,6.73,7.61,4.49,1.83,0.04,0.17,0.23,8.36,4.63
9.46,17.92,1.76,7.35,0.65,0.35,0.05,0.2,9.44,1.85
0.27,19.3,12.7,7.08,0.81,0.85,0.22,0.09,3.89,2.4
5.98,8.17,10.6,12.23,2.94,0.23,0.41,0.09,9.42,4.07
9.2,9.68,4.2,5.58,4.02,0.42,0.16,0.11,9.9,2.97
1.87,11.16,11.05,6.88,1.63,0.57,0.17,0.06,2.36,4.89
6.42,2.82,4.97,20.07,1.39,0.94,0.48,0.12,2.8,3.54
6.72,2.99,6.88,18.17,2.09,0.77,0.33,0.12,7.75,4.34
1.54,13.61,11.5,16.18,1.51,0.44,0.49,0.19,5.62,4.06
6.41,7.54,9.13,23.9,0.74,0.05,0.09,0.06,6.68,4.38
0.38,7.56,2.45,22.37,0.42,0.58,0.05,0.11,4.14,3.08
1.18,7.86,2.85,1.0,1.78,0.06,0.4,0.2,9.3,1.11
8.21,7.03,8.6,4.66,3.02,0.27,0.2,0.1,4.36,2.97
5.15,11.25,3.81,16.95,3.44,0.32,0.03,0.06,9.11,0.9
1.93,14.21,5.1,13.56,3.36,0.86,0.23,0.08,6.39,3.58
1.67,2.92,9.89,26.4,0.38,0.84,0.36,0.07,3.38,4.9
3.02,19.06,8.91,1.88,3.6,0.59,0.45,0.25,7.59,4.21
3.26,12.09,1.64,2.75,3.08,0.9,0.3,0.25,9.36,2.85
2.59,4.41,12.11,18.3,0.89,0.43,0.04,0.28,5.89,1.9
0.3,13.79,9.5,3.89,0.86,0.75,0.26,0.03,4.4,4.04
8.34,4.9,3.56,27.13,4.09,0.78,0.15,0.28,2.89,4.26
7.89,4.69,2.54,20.92,0.85,0.5,0.49,0.06,8.79,4.27
9.21,17.77,10.43,17.38,3.65,0.73,0.08,0.06,5.86,2.0
6.39,4.61,12.25,26.94,4.86,0.92,0.43,0.23,1.39,3.59
0.39,17.65,4.55,26.39,2.3,0.73,0.41,0.2,7.6,2.38
9.19,1.53,4.67,5.23,0.52,0.91,0.36,0.09,7.64,3.76
6.14,13.31,6.81,20.57,0.83,0.06,0.19,0.05,7.8,3.45
6.86,3.78,8.02,9.26,1.41,0.52,0.32,0.28,2.09,3.96
8.34,4.81,14.79,18.36,2.67,0.51,0.29,0.1,4.19,4.8
6.29,3.34,14.53,25.99,3.03,0.84,0.49,0.05,7.04,3.54
2.15,3.45,3.32,17.38,1.23,0.75,0.04,0.21,1.02,4.16
5.79,19.68,3.95,6.81,2.24,0.2,0.13,0.29,8.2,1.5
1.8,6.31,6.3,25.51,1.92,0.67,0.37,0.07,8.56,3.12
8.34,13.71,8.0,26.67,0.77,0.9,0.27,0.14,1.39,1.33
3.33,3.58,7.6,1.0,1.97,0.23,0.47,0.05,7.06,1.21
6.62,10.36,12.47,5.87,2.72,0.45,0.48,0.09,1.72,2.08
7.64,3.84,14.23,23.18,2.43,0.76,0.21,0.11,3.44,2.42
4.26,16.72,2.32,9.26,3.81,0.12,0.47,0.18,7.13,2.79
1.97,9.26,10.83,13.63,3.27,0.51,0.26,0.29,9.48,4.41
2.7,16.33,4.92,18.7,0.6,0.04,0.08,0.17,3.97,1.11
3.67,13.76,8.48,3.76,0.93,0.64,0.31,0.09,6.32,1.38
3.39,12.98,13.68,28.6,1.86,0.74,0.48,0.08,5.03,1.49
7.29,8.02,14.24,17.87,2.12,0.77,0.14,0.25,7.39,3.43
2.67,6.41,4.98,1.31,4.82,0.49,0.1,0.03,6.24,1.54
4.85,0.79,5.15,28.54,3.11,0.76,0.07,0.16,5.13,1.45
