Sho'rlanish darajasi,N-NO,Mexanik tarkibi,Karbonatlar,Gumus miqdori,Preparad nomi
Low,Low,81,8,96,GreenField
High,Low,91,2,94,NutriGrow
Low,Low,87,21,47,EcoMax
Low,High,81,1,99,EcoMax
High,Low,41,15,55,NutriGrow
High,Low,68,1,40,BioBoost
Low,High,31,5,52,EcoMax
Normal,Low,32,16,16,GreenField
Low,High,85,19,13,BioBoost
Low,Normal,88,4,30,GreenField
Low,Low,31,3,19,Ayahuasca
Low,Normal,31,17,17,BioBoost
High,High,83,17,63,EcoMax
Low,Low,30,12,19,BioBoost
Normal,High,48,14,92,BioBoost
High,Normal,31,21,58,BioBoost
Normal,High,82,6,55,BioBoost
Normal,Low,73,3,90,GreenField
Normal,Low,61,9,90,Ayahuasca
Normal,Normal,99,5,62,NutriGrow
High,High,61,24,23,BioBoost
High,Low,97,17,9,EcoMax
Normal,Normal,84,14,12,BioBoost
Normal,Low,85,21,1,EcoMax
High,Low,46,3,58,GreenField
High,High,67,1,1,EcoMax
High,Low,53,20,34,NutriGrow
Low,High,98,21,96,Ayahuasca
Low,Low,99,23,48,EcoMax
Low,Normal,40,1,89,EcoMax
Normal,Low,45,3,1,Ayahuasca
Low,High,88,18,16,NutriGrow
Normal,High,99,25,61,BioBoost
Normal,Normal,32,10,64,EcoMax
Low,Low,49,22,63,Ayahuasca
Normal,Low,88,3,69,GreenField
Low,Normal,65,8,22,Ayahuasca
Low,Low,48,14,93,GreenField
High,Low,96,24,67,NutriGrow
Low,High,48,18,76,BioBoost
High,Low,49,15,26,Ayahuasca
Low,Low,100,22,16,EcoMax
Low,Normal,81,23,51,NutriGrow
High,Normal,62,2,86,Ayahuasca
High,High,69,10,57,EcoMax
Low,Low,68,2,29,Ayahuasca
Normal,Low,30,17,78,GreenField
High,Low,40,8,92,Ayahuasca
Normal,High,86,1,69,Ayahuasca
Normal,High,79,9,47,Ayahuasca
Normal,Normal,52,11,94,NutriGrow
High,High,60,22,62,Ayahuasca
Normal,Low,71,16,69,EcoMax
High,Low,36,7,76,GreenField
Normal,High,45,10,16,GreenField
Low,Low,89,23,90,Ayahuasca
Low,Low,31,3,90,NutriGrow
High,High,30,18,48,NutriGrow
Low,High,77,25,85,EcoMax
Low,Low,41,24,39,Ayahuasca
Normal,Low,98,13,100,GreenField
High,Low,66,7,33,NutriGrow
Normal,Normal,61,25,94,Ayahuasca
Normal,Normal,38,4,23,NutriGrow
Normal,Normal,48,13,10,NutriGrow
Normal,High,77,20,69,GreenField
Normal,Normal,32,1,100,BioBoost
Normal,High,49,8,34,EcoMax
Normal,High,53,14,52,EcoMax
High,Normal,83,16,95,GreenField
Low,Normal,62,14,10,NutriGrow
Normal,Normal,53,12,19,Ayahuasca
Normal,Low,65,19,58,NutriGrow
Normal,Normal,67,23,96,GreenField
Normal,Low,54,15,1,EcoMax
Normal,High,47,2,69,NutriGrow
Normal,Low,95,2,4,EcoMax
Low,Normal,83,23,16,Ayahuasca
Low,High,64,22,24,EcoMax
Normal,High,90,19,80,EcoMax
Low,High,70,25,2,BioBoost
High,Low,62,22,92,BioBoost
Normal,Normal,97,22,32,BioBoost
High,High,62,17,91,EcoMax
High,High,43,20,84,GreenField
Normal,High,50,10,24,EcoMax
Low,Low,77,6,12,GreenField
High,Low,49,15,50,GreenField
Normal,Normal,37,22,35,BioBoost
High,Low,36,11,33,NutriGrow
High,High,96,5,33,Ayahuasca
High,Normal,46,1,61,BioBoost
High,High,62,8,51,BioBoost
Low,High,77,21,43,NutriGrow
High,Low,88,12,12,Ayahuasca
High,Normal,51,12,67,EcoMax
High,Low,59,5,65,EcoMax
Low,Low,67,7,33,BioBoost
High,Normal,80,4,40,Ayahuasca
High,High,83,6,74,BioBoost
