Sho'rlanish darajasi,N-NO,Mexanik tarkibi,Karbonatlar,Gumus miqdori (%),Preparad nomi
High,High,67.4,2.4,7.13,PrepF
Low,Normal,57.4,1.0,2.75,PrepF
High,Normal,48.4,13.7,2.41,PrepB
Normal,Low,80.6,7.1,6.29,PrepF
High,Low,84.3,12.6,3.06,PrepJ
High,High,70.9,3.5,0.54,PrepF
High,Normal,74.2,24.5,5.2,PrepI
High,High,90.0,9.2,5.47,PrepJ
Normal,High,55.3,3.4,2.17,PrepG
Normal,Normal,37.9,7.8,1.01,PrepA
High,Low,58.9,18.4,4.98,PrepB
High,Low,53.4,1.5,5.09,PrepG
High,Low,61.3,9.5,1.1,PrepD
High,Low,38.0,4.2,6.43,PrepJ
Low,Normal,37.6,2.9,0.9,PrepA
Normal,Normal,64.3,15.4,3.52,PrepA
High,Low,95.2,4.7,2.08,PrepH
High,High,62.2,8.1,7.08,PrepC
High,Normal,83.7,22.6,1.62,PrepA
Low,Low,38.3,14.2,2.19,PrepD
Low,Normal,85.8,22.6,5.09,PrepJ
Low,Low,76.6,1.4,1.89,PrepH
Normal,Normal,74.7,13.4,6.86,PrepJ
High,Normal,56.4,2.5,1.75,PrepB
Low,High,34.6,15.3,3.51,PrepJ
Normal,Normal,48.9,1.5,2.98,PrepB
High,High,61.5,24.4,2.44,PrepI
High,Low,49.3,20.3,3.79,PrepB
Normal,Normal,63.6,5.0,4.99,PrepH
Normal,Low,68.3,17.9,7.31,PrepI
Low,Normal,71.7,19.4,2.56,PrepH
Low,High,82.9,3.8,3.62,PrepI
High,High,38.8,6.7,3.23,PrepJ
High,High,73.6,3.3,4.69,PrepJ
High,Normal,49.3,8.3,5.45,PrepF
Low,Low,75.0,21.3,7.59,PrepC
Low,Normal,46.1,9.2,6.49,PrepH
Normal,High,55.4,12.6,3.81,PrepB
High,High,72.0,18.4,7.44,PrepF
Low,Low,77.0,16.0,6.88,PrepF
High,Low,68.8,8.9,6.86,PrepG
Normal,High,64.5,13.9,2.97,PrepJ
High,High,62.3,10.2,7.75,PrepA
Low,Normal,34.7,21.0,3.66,PrepA
High,Normal,30.1,6.6,7.76,PrepF
High,Normal,87.2,17.5,3.89,PrepA
High,Normal,92.4,19.7,5.05,PrepG
Low,Normal,68.5,23.3,1.17,PrepE
Low,Low,34.3,16.0,6.13,PrepH
High,Low,71.7,17.4,7.83,PrepH
High,Normal,30.9,15.4,6.15,PrepB
Normal,Low,73.5,19.3,4.66,PrepC
High,Normal,88.7,7.3,4.01,PrepG
High,Normal,83.0,14.2,0.52,PrepG
Low,Low,83.9,1.9,1.35,PrepG
Low,Normal,97.3,20.6,1.03,PrepG
Low,Low,73.7,15.9,2.24,PrepB
High,Normal,34.0,23.8,4.25,PrepG
Low,Low,74.9,9.2,7.01,PrepG
Low,High,38.5,18.4,7.38,PrepH
High,Normal,49.1,10.3,7.2,PrepF
High,Normal,96.6,17.3,2.67,PrepF
Normal,High,33.9,24.3,3.53,PrepH
Low,High,79.3,21.6,3.29,PrepE
High,High,56.7,6.3,6.65,PrepE
Low,High,46.6,20.1,5.4,PrepB
High,High,80.9,8.5,4.48,PrepF
Low,Normal,73.0,23.3,2.99,PrepI
Normal,Normal,94.6,9.2,6.26,PrepF
Low,High,42.3,10.5,7.83,PrepC
High,Low,77.8,8.2,1.41,PrepF
High,High,80.6,10.4,2.28,PrepB
Normal,Low,69.0,10.0,1.95,PrepA
Low,Normal,96.7,5.6,1.22,PrepJ
High,Normal,79.3,18.6,6.98,PrepF
High,Low,43.0,4.9,7.73,PrepH
High,High,97.2,5.6,1.88,PrepJ
Low,High,95.6,8.5,7.31,PrepF
High,Low,85.7,10.7,1.68,PrepA
High,Normal,33.5,8.4,6.88,PrepF
Low,High,99.5,19.1,2.01,PrepC
Normal,High,70.2,3.6,7.69,PrepG
High,Low,65.4,24.5,0.5,PrepD
Low,High,80.8,8.6,7.75,PrepB
Low,Normal,31.4,1.8,1.5,PrepC
High,High,30.8,19.1,1.17,PrepJ
High,Normal,85.6,11.7,2.63,PrepD
High,Normal,94.2,7.6,2.93,PrepF
Normal,Low,47.6,4.1,5.72,PrepG
High,Low,73.6,17.2,3.6,PrepG
Normal,Low,64.2,2.3,5.49,PrepC
High,Normal,43.3,12.6,7.69,PrepE
Normal,Low,65.6,21.7,7.94,PrepC
High,High,42.1,13.0,0.64,PrepC
Normal,Low,72.6,5.3,5.09,PrepI
Normal,Low,63.8,18.5,6.54,PrepG
Normal,Normal,94.8,16.4,7.17,PrepC
Normal,High,71.1,23.3,1.88,PrepE
Normal,Low,65.8,6.3,6.9,PrepB
Low,Normal,44.1,3.7,3.22,PrepC
High,Low,37.1,12.1,6.78,PrepH
Low,Low,39.5,16.3,7.22,PrepI
Low,Low,37.9,7.5,2.51,PrepH
Low,Normal,31.9,17.7,7.61,PrepB
High,Normal,36.4,17.0,3.24,PrepB
Low,High,56.4,2.3,4.44,PrepD
Normal,High,76.3,12.6,6.09,PrepG
High,High,42.0,6.7,6.44,PrepI
High,High,50.5,3.3,6.46,PrepH
High,High,58.2,14.1,1.77,PrepE
Normal,Normal,65.7,21.6,3.87,PrepH
Normal,Low,86.5,2.4,1.81,PrepA
Low,High,74.0,12.0,3.46,PrepG
Low,Normal,58.1,3.7,3.76,PrepG
Normal,Normal,41.0,20.8,3.12,PrepC
High,Low,79.9,11.5,4.68,PrepA
High,Normal,90.5,4.8,2.23,PrepJ
Low,High,32.8,7.8,0.54,PrepH
High,Normal,78.6,5.8,6.62,PrepF
Normal,Low,39.9,8.7,1.74,PrepE
Low,High,74.0,10.5,5.04,PrepA
Low,High,70.6,8.8,5.79,PrepG
High,Normal,67.3,16.8,3.09,PrepA
